,appid,player_count,date
162,949230,6195,2025-09-22 22:42:51
163,2508780,3027,2025-09-22 22:43:20
164,2452280,2772,2025-09-22 22:43:50
165,1942280,4328,2025-09-22 22:44:19
166,216150,6415,2025-09-22 22:44:48
167,3165720,10605,2025-09-22 22:45:17
168,291550,11852,2025-09-22 22:45:46
169,1874880,12694,2025-09-22 22:46:15
170,648800,5700,2025-09-22 22:46:44
171,3557620,2234,2025-09-22 22:47:13
172,1687950,4025,2025-09-22 22:47:43
173,2074920,4745,2025-09-22 22:48:12
174,376210,6611,2025-09-22 22:48:41
175,812140,4227,2025-09-22 22:49:10
176,960090,7717,2025-09-22 22:49:39
177,1203620,8092,2025-09-22 22:50:08
178,993090,4276,2025-09-22 22:50:37
179,2141910,8462,2025-09-22 22:51:07
180,714010,2730,2025-09-22 22:51:36
181,2709570,6083,2025-09-22 22:52:05
182,3159330,4428,2025-09-22 22:52:34
183,814380,1900,2025-09-22 22:53:03
184,1757300,12276,2025-09-22 22:53:32
185,1151340,8013,2025-09-22 22:54:02
186,444200,4419,2025-09-22 22:54:31
187,899770,4557,2025-09-22 22:55:00
188,779340,2098,2025-09-22 22:55:29
189,1326470,5955,2025-09-22 22:55:58
190,3659280,9109,2025-09-22 22:56:27
191,1468810,1172,2025-09-22 22:56:57
192,835570,2211,2025-09-22 22:57:26
193,2918500,316,2025-09-22 22:57:55
194,397540,5371,2025-09-22 22:58:24
195,238960,6287,2025-09-22 22:58:53
196,3489700,1860,2025-09-22 22:59:22
197,1446780,1479,2025-09-22 22:59:52
198,244850,8804,2025-09-22 23:00:21
199,477160,1377,2025-09-22 23:00:50
200,1293830,1990,2025-09-22 23:01:19
201,700330,2368,2025-09-22 23:01:48
202,1909950,1342,2025-09-22 23:02:17
203,1778820,4490,2025-09-22 23:02:46
204,306130,10858,2025-09-22 23:03:15
205,391220,1459,2025-09-22 23:03:44
206,2016590,4015,2025-09-22 23:04:14
207,440900,7278,2025-09-22 23:04:43
208,728880,1027,2025-09-22 23:05:12
209,431730,5465,2025-09-22 23:05:41
210,1284210,6458,2025-09-22 23:06:10
211,1295660,6164,2025-09-22 23:06:39
212,815370,1959,2025-09-22 23:07:08
213,233860,4999,2025-09-22 23:07:37
214,1211020,2977,2025-09-22 23:08:07
215,2949320,1404,2025-09-22 23:08:36
216,2050650,3277,2025-09-22 23:09:05
217,3059520,4199,2025-09-22 23:09:34
218,379430,4538,2025-09-22 23:10:03
219,518790,3586,2025-09-22 23:10:32
220,916440,4242,2025-09-22 23:11:01
221,1144200,6833,2025-09-22 23:11:30
222,1876890,726,2025-09-22 23:11:59
223,1604270,3415,2025-09-22 23:12:29
224,3321660,3118,2025-09-22 23:12:58
225,214950,5775,2025-09-22 23:13:27
226,632360,5943,2025-09-22 23:13:56
227,262060,2514,2025-09-22 23:14:25
228,2471100,4347,2025-09-22 23:14:54
229,933110,3917,2025-09-22 23:15:23
230,270880,6623,2025-09-22 23:15:52
231,1868140,1539,2025-09-22 23:16:21
232,2277560,1015,2025-09-22 23:16:50
233,1366540,2212,2025-09-22 23:17:20
234,242760,2937,2025-09-22 23:17:49
235,1904540,4050,2025-09-22 23:18:18
236,3199170,3795,2025-09-22 23:18:47
237,48700,2354,2025-09-22 23:19:16
238,914690,12,2025-09-22 23:19:45
239,3180070,4915,2025-09-22 23:20:14
240,1943950,1136,2025-09-22 23:20:44
241,1267910,3173,2025-09-22 23:21:13
242,1304930,3617,2025-09-22 23:21:42
243,588650,1831,2025-09-22 23:22:11
244,2642680,5160,2025-09-22 23:22:40
245,1066780,3169,2025-09-22 23:23:09
246,544810,624,2025-09-22 23:23:38
247,2384580,693,2025-09-22 23:24:08
248,945360,6166,2025-09-22 23:24:37
249,1621690,1972,2025-09-22 23:25:06
250,730,855152,2025-09-22 23:25:35
251,570,587796,2025-09-22 23:26:04
252,578080,124572,2025-09-22 23:26:33
253,2507950,47066,2025-09-22 23:27:02
254,1172470,50089,2025-09-22 23:27:31
255,1030300,143078,2025-09-22 23:28:01
256,3419430,79552,2025-09-22 23:28:30
257,1203220,9382,2025-09-22 23:28:59
258,431960,46947,2025-09-22 23:29:28
259,1285190,137062,2025-09-22 23:29:57
260,2694490,97949,2025-09-22 23:30:26
261,2923300,93377,2025-09-22 23:30:55
262,252490,86710,2025-09-22 23:31:24
263,413150,40996,2025-09-22 23:31:54
264,3008130,57597,2025-09-22 23:32:23
265,218,85820,2025-09-22 23:32:52
266,271590,47436,2025-09-22 23:33:21
267,480,36005,2025-09-22 23:33:50
268,236390,37072,2025-09-22 23:34:19
269,2622380,21818,2025-09-22 23:34:48
270,322330,14073,2025-09-22 23:35:17
271,3354750,105100,2025-09-22 23:35:47
272,3240220,24130,2025-09-22 23:36:16
273,2252570,44259,2025-09-22 23:36:45
274,381210,43549,2025-09-22 23:37:14
275,359550,49602,2025-09-22 23:37:43
276,440,49765,2025-09-22 23:38:12
277,367520,44010,2025-09-22 23:38:41
278,230410,34046,2025-09-22 23:39:10
279,240,43075,2025-09-22 23:39:39
280,1086940,51403,2025-09-22 23:40:08
281,1091500,33391,2025-09-22 23:40:37
282,438100,36838,2025-09-22 23:41:06
283,394360,28008,2025-09-22 23:41:36
284,2767030,73233,2025-09-22 23:42:05
285,1973530,15683,2025-09-22 23:42:34
286,553850,49043,2025-09-22 23:43:03
287,1366800,39124,2025-09-22 23:43:32
288,289070,24085,2025-09-22 23:44:01
289,221100,44091,2025-09-22 23:44:30
290,1623730,20317,2025-09-22 23:44:59
291,2444750,13601,2025-09-22 23:45:28
292,261550,19752,2025-09-22 23:45:57
293,2073620,43344,2025-09-22 23:46:27
294,1174180,22155,2025-09-22 23:46:56
295,1364780,6880,2025-09-22 23:47:25
296,218620,30085,2025-09-22 23:47:54
297,2357570,31839,2025-09-22 23:48:23
298,294100,25041,2025-09-22 23:48:52
299,251570,21069,2025-09-22 23:49:21
300,275850,34314,2025-09-22 23:49:50
301,227300,19311,2025-09-22 23:50:19
302,2669320,21295,2025-09-22 23:50:48
303,1938090,40146,2025-09-22 23:51:17
